title,booktype,file,genres
"The Hunger Games (The Hunger Games, #1)",books.book,files/1_2767052-the-hunger-games.html,
Harry Potter and the Order of the Phoenix (Harry Potter…,books.book,files/1_2.Harry_Potter_and_the_Order_of_the_Phoenix.html,
Pride and Prejudice,books.book,files/1_1885.Pride_and_Prejudice.html,/genres/classics|/genres/fiction|/genres/romance|/genres/historical|/genres/historical-fiction|/genres/literature|/genres/historical|/genres/novels|/genres/audiobook|/genres/romance|/genres/historical-romance|/genres/adult
To Kill a Mockingbird,books.book,files/1_2657.To_Kill_a_Mockingbird.html,/genres/classics|/genres/fiction|/genres/historical|/genres/historical-fiction|/genres/academic|/genres/school|/genres/literature|/genres/young-adult|/genres/historical|/genres/academic|/genres/read-for-school|/genres/novels|/genres/young-adult|/genres/high-school
The Book Thief,books.book,files/1_19063.The_Book_Thief.html,
"Interview with the Vampire (The Vampire Chronicles, #1)",books.book,files/2_43763.Interview_with_the_Vampire.html,
Fahrenheit 451,books.book,files/2_4381.Fahrenheit_451.html,/genres/classics|/genres/fiction|/genres/science-fiction|/genres/science-fiction|/genres/dystopia|/genres/academic|/genres/school|/genres/literature|/genres/novels|/genres/fantasy|/genres/audiobook|/genres/adult
A Prayer for Owen Meany,books.book,files/2_4473.A_Prayer_for_Owen_Meany.html,
"Moby-Dick or, the Whale",books.book,files/2_153747.Moby_Dick_or_the_Whale.html,
"Harry Potter and the Half-Blood Prince (Harry Potter, #…",books.book,files/2_1.Harry_Potter_and_the_Half_Blood_Prince.html,
